,,,,,,Playing Time,,,,Performance,,,,,,,,Expected,,,,Progression,,Per 90 Minutes,,,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,,,Pass Types,,,,,,,,Corner Kicks,,,Outcomes,,,SCA,,SCA Types,,,,,,GCA,,GCA Types,,,,,,Tackles,,,,,Challenges,,,,Blocks,,,,,,,Touches,,,,,,,Take-Ons,,,,,Carries,,,,,,,,Receiving,,Performance,,,,,,,,,,,,,Aerial Duels,,
Rk,Squad,Comp,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK,xG/90,xAG/90,xG+xAG,npxG/90,npxG+xAG/90,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,CmpT,AttT,Cmp%T,TotDistT,PrgDistT,CmpS,AttS,Cmp%S,CmpM,AttM,Cmp%M,CmpL,AttL,Cmp%L,Ast,xAG,xA,A-xAG,KP,1/3P,PPA,CrsPA,PrgP,Att,LivePass,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,ShSCA,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,ShGCA,Fld,Def,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,ShBlocked,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,LiveTouc,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3C,CPA,Mis,Dis,Rec,PrgR,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
48.00,Leverkusen,de Bundesliga,27.00,26.50,48.00,34.00,374.00,3060.00,34.00,47.00,29.00,76.00,40.00,7.00,7.00,95.00,1.00,42.80,37.30,28.80,66.10,481.00,1254.00,1.38,0.85,2.24,1.18,2.03,1.26,0.85,2.11,1.10,1.94,47.00,386.00,139.00,36.00,11.35,4.09,0.10,0.29,17.60,19.00,7.00,7.00,42.80,37.30,0.10,4.20,2.70,13329.00,16950.00,78.60,242909.00,88868.00,5702.00,6537.00,87.20,5954.00,6929.00,85.90,1388.00,2613.00,53.10,29.00,28.80,35.30,0.20,280.00,973.00,246.00,60.00,1254.00,16950.00,15411.00,1477.00,397.00,35.00,91.00,525.00,641.00,131.00,68.00,54.00,2.00,13329.00,62.00,304.00,651.00,19.15,465.00,64.00,25.00,42.00,38.00,17.00,79.00,2.32,56.00,6.00,1.00,5.00,9.00,2.00,595.00,326.00,232.00,263.00,100.00,268.00,620.00,43.20,352.00,388.00,109.00,279.00,334.00,929.00,527.00,7.00,20578.00,2068.00,6534.00,9823.00,4414.00,688.00,20571.00,477.00,185.00,38.80,236.00,49.50,11852.00,58640.00,28581.00,481.00,374.00,132.00,515.00,258.00,13202.00,1246.00,95.00,1.00,1.00,433.00,358.00,62.00,525.00,334.00,326.00,6.00,7.00,0.00,1928.00,492.00,430.00,53.40
49.00,Lille,fr Ligue 1,26.00,26.20,39.50,38.00,418.00,3420.00,38.00,41.00,26.00,67.00,37.00,4.00,5.00,75.00,6.00,40.50,36.60,27.80,64.30,513.00,1060.00,1.08,0.68,1.76,0.97,1.66,1.07,0.73,1.80,0.96,1.69,41.00,324.00,117.00,36.10,8.53,3.08,0.11,0.32,17.30,8.00,4.00,5.00,40.50,36.60,0.12,0.50,0.40,11379.00,14925.00,76.20,213337.00,81858.00,4639.00,5527.00,83.90,4879.00,5774.00,84.50,1472.00,2750.00,53.50,26.00,27.80,23.70,-1.80,231.00,792.00,188.00,48.00,1060.00,14925.00,13088.00,1755.00,543.00,46.00,119.00,497.00,686.00,136.00,57.00,56.00,1.00,11379.00,82.00,354.00,551.00,14.50,371.00,56.00,38.00,34.00,36.00,16.00,70.00,1.84,48.00,0.00,6.00,7.00,7.00,2.00,728.00,414.00,368.00,279.00,81.00,330.00,730.00,45.20,400.00,499.00,144.00,355.00,404.00,1132.00,682.00,14.00,19095.00,2690.00,7566.00,8149.00,3677.00,580.00,19090.00,739.00,344.00,46.50,314.00,42.50,12888.00,72738.00,33044.00,513.00,399.00,132.00,571.00,321.00,11275.00,1046.00,75.00,6.00,3.00,506.00,471.00,82.00,497.00,404.00,414.00,5.00,12.00,0.00,1991.00,463.00,440.00,51.30
50.00,Liverpool,eng Premier League,28.00,26.60,38.90,38.00,418.00,3420.00,38.00,45.00,32.00,77.00,43.00,2.00,4.00,59.00,1.00,50.90,48.10,37.80,85.80,505.00,1101.00,1.18,0.84,2.03,1.13,1.97,1.34,0.99,2.33,1.26,2.26,45.00,366.00,154.00,42.10,9.63,4.05,0.12,0.28,15.90,9.00,2.00,4.00,50.90,48.10,0.13,-5.90,-5.10,11949.00,15970.00,74.80,211445.00,82709.00,5604.00,6558.00,85.50,4725.00,5743.00,82.30,1275.00,2707.00,47.10,32.00,37.80,27.60,-5.80,283.00,908.00,232.00,58.00,1101.00,15970.00,14167.00,1715.00,466.00,76.00,122.00,515.00,677.00,134.00,75.00,34.00,1.00,11949.00,88.00,315.00,655.00,17.24,481.00,58.00,45.00,30.00,32.00,9.00,78.00,2.05,52.00,3.00,10.00,5.00,4.00,4.00,694.00,391.00,368.00,254.00,72.00,282.00,602.00,46.80,320.00,501.00,164.00,337.00,410.00,1104.00,995.00,22.00,20607.00,3079.00,8404.00,8219.00,4189.00,677.00,20603.00,751.00,367.00,48.90,281.00,37.40,10557.00,53483.00,26434.00,505.00,332.00,166.00,586.00,309.00,11858.00,1090.00,59.00,1.00,0.00,343.00,383.00,88.00,515.00,410.00,391.00,4.00,4.00,4.00,2083.00,455.00,482.00,48.60
51.00,Lorient,fr Ligue 1,30.00,26.40,53.40,38.00,418.00,3420.00,38.00,52.00,36.00,88.00,50.00,2.00,2.00,80.00,4.00,58.20,56.60,43.00,99.60,759.00,2065.00,1.37,0.95,2.32,1.32,2.26,1.53,1.13,2.66,1.49,2.62,52.00,563.00,180.00,32.00,14.82,4.74,0.09,0.28,17.20,17.00,2.00,2.00,58.20,56.60,0.10,-6.20,-6.60,17282.00,20818.00,83.00,307503.00,103678.00,7326.00,8278.00,88.50,7631.00,8640.00,88.30,1755.00,2811.00,62.40,36.00,43.00,51.00,-7.00,418.00,1665.00,417.00,127.00,2065.00,20818.00,19150.00,1626.00,425.00,41.00,120.00,910.00,678.00,211.00,95.00,87.00,0.00,17282.00,42.00,401.00,984.00,25.89,717.00,86.00,55.00,56.00,49.00,21.00,83.00,2.18,60.00,3.00,8.00,5.00,4.00,3.00,720.00,433.00,329.00,272.00,119.00,388.00,794.00,48.90,406.00,425.00,115.00,310.00,395.00,1115.00,518.00,12.00,24862.00,1899.00,5971.00,12111.00,7059.00,993.00,24860.00,758.00,375.00,49.50,315.00,41.60,18751.00,107582.00,51572.00,759.00,739.00,169.00,538.00,421.00,17143.00,2048.00,80.00,4.00,3.00,527.00,379.00,42.00,910.00,395.00,433.00,2.00,6.00,3.00,2189.00,479.00,407.00,54.10
52.00,Lyon,fr Ligue 1,29.00,26.10,41.90,38.00,418.00,3420.00,38.00,44.00,24.00,68.00,33.00,11.00,11.00,66.00,4.00,51.70,43.10,34.10,77.20,677.00,1277.00,1.16,0.63,1.79,0.87,1.50,1.36,0.90,2.26,1.13,2.03,44.00,417.00,144.00,34.50,10.97,3.79,0.08,0.23,17.30,18.00,11.00,11.00,51.70,43.10,0.11,-7.70,-10.10,12929.00,16553.00,78.10,227858.00,88246.00,5805.00,6841.00,84.90,5207.00,6194.00,84.10,1407.00,2509.00,56.10,24.00,34.10,30.10,-10.10,316.00,979.00,258.00,62.00,1277.00,16553.00,14765.00,1715.00,527.00,40.00,105.00,541.00,665.00,163.00,76.00,55.00,1.00,12929.00,73.00,358.00,731.00,19.24,534.00,65.00,42.00,38.00,39.00,13.00,73.00,1.92,44.00,6.00,5.00,6.00,11.00,1.00,772.00,438.00,409.00,276.00,87.00,401.00,799.00,50.20,398.00,500.00,146.00,354.00,482.00,1254.00,738.00,15.00,21204.00,2523.00,7208.00,9590.00,4712.00,728.00,21193.00,867.00,404.00,46.60,367.00,42.30,14537.00,85123.00,39785.00,677.00,541.00,168.00,643.00,356.00,12787.00,1261.00,66.00,4.00,1.00,477.00,470.00,73.00,541.00,482.00,438.00,7.00,8.00,2.00,2207.00,438.00,452.00,49.20
53.00,M'Gladbach,de Bundesliga,27.00,26.40,46.30,34.00,374.00,3060.00,34.00,54.00,37.00,91.00,48.00,6.00,6.00,66.00,6.00,53.40,48.70,35.10,83.80,600.00,1349.00,1.59,1.09,2.68,1.41,2.50,1.57,1.03,2.60,1.43,2.46,54.00,476.00,174.00,36.60,14.00,5.12,0.10,0.28,17.40,18.00,6.00,6.00,53.40,48.70,0.11,0.60,-0.70,12596.00,16130.00,78.10,227403.00,84295.00,5369.00,6189.00,86.80,5568.00,6500.00,85.70,1323.00,2494.00,53.00,37.00,35.10,39.40,1.90,340.00,984.00,282.00,75.00,1349.00,16130.00,14554.00,1486.00,381.00,30.00,119.00,671.00,635.00,181.00,81.00,62.00,0.00,12596.00,90.00,342.00,844.00,24.82,594.00,73.00,55.00,60.00,44.00,18.00,93.00,2.74,68.00,3.00,6.00,7.00,8.00,1.00,530.00,316.00,198.00,249.00,83.00,226.00,466.00,48.50,240.00,444.00,89.00,355.00,336.00,866.00,487.00,13.00,19733.00,1984.00,6287.00,8706.00,4915.00,837.00,19727.00,600.00,269.00,44.80,267.00,44.50,11138.00,57381.00,29794.00,600.00,364.00,187.00,420.00,230.00,12466.00,1333.00,66.00,6.00,3.00,464.00,320.00,90.00,671.00,336.00,316.00,5.00,6.00,0.00,1903.00,419.00,415.00,50.20
54.00,Mainz 05,de Bundesliga,27.00,26.60,55.20,34.00,374.00,3060.00,34.00,55.00,42.00,97.00,51.00,4.00,8.00,72.00,5.00,53.60,47.50,39.00,86.50,595.00,1279.00,1.62,1.24,2.85,1.50,2.74,1.58,1.15,2.72,1.40,2.54,55.00,432.00,146.00,33.80,12.71,4.29,0.12,0.35,18.00,20.00,4.00,8.00,53.60,47.50,0.11,1.40,3.50,13921.00,18210.00,76.40,261007.00,96394.00,5658.00,6728.00,84.10,6359.00,7558.00,84.10,1650.00,3051.00,54.10,42.00,39.00,38.10,3.00,331.00,1135.00,254.00,76.00,1279.00,18210.00,16407.00,1755.00,520.00,45.00,108.00,599.00,755.00,142.00,55.00,71.00,1.00,13921.00,48.00,363.00,777.00,22.85,554.00,67.00,48.00,43.00,56.00,9.00,97.00,2.85,70.00,5.00,11.00,6.00,4.00,1.00,471.00,298.00,228.00,189.00,54.00,220.00,444.00,49.50,224.00,411.00,102.00,309.00,296.00,767.00,789.00,17.00,22189.00,2407.00,7587.00,10213.00,4603.00,679.00,22181.00,626.00,289.00,46.20,270.00,43.10,12526.00,64082.00,31610.00,595.00,418.00,116.00,535.00,277.00,13791.00,1261.00,72.00,5.00,3.00,347.00,454.00,48.00,599.00,296.00,298.00,6.00,6.00,0.00,2006.00,703.00,740.00,48.70
55.00,Mallorca,es La Liga,31.00,27.40,58.90,38.00,418.00,3420.00,38.00,43.00,31.00,74.00,37.00,6.00,7.00,94.00,4.00,46.40,41.00,31.80,72.80,795.00,1706.00,1.13,0.82,1.95,0.97,1.79,1.22,0.84,2.06,1.08,1.92,43.00,489.00,138.00,28.20,12.87,3.63,0.08,0.27,19.30,19.00,6.00,7.00,46.40,41.00,0.08,-3.40,-4.00,16934.00,20763.00,81.60,294260.00,97924.00,7875.00,8733.00,90.20,7059.00,8172.00,86.40,1588.00,2872.00,55.30,31.00,31.80,35.90,-0.80,378.00,1539.00,332.00,115.00,1706.00,20763.00,18826.00,1897.00,657.00,48.00,130.00,822.00,738.00,194.00,54.00,59.00,6.00,16934.00,40.00,323.00,907.00,23.87,689.00,82.00,44.00,40.00,43.00,9.00,75.00,1.97,51.00,4.00,7.00,7.00,5.00,1.00,500.00,296.00,202.00,217.00,81.00,198.00,491.00,40.30,293.00,333.00,82.00,251.00,231.00,731.00,621.00,8.00,24505.00,1788.00,5800.00,12118.00,6813.00,758.00,24498.00,652.00,298.00,45.70,283.00,43.40,15033.00,80117.00,44803.00,795.00,569.00,132.00,561.00,300.00,16791.00,1695.00,94.00,4.00,1.00,482.00,591.00,40.00,822.00,231.00,296.00,4.00,5.00,1.00,1900.00,629.00,674.00,48.30
56.00,Manchester City,eng Premier League,24.00,26.60,34.70,38.00,418.00,3420.00,38.00,32.00,21.00,53.00,29.00,3.00,3.00,80.00,2.00,32.10,29.80,23.80,53.50,434.00,860.00,0.84,0.55,1.39,0.76,1.32,0.85,0.63,1.47,0.78,1.41,32.00,291.00,89.00,30.60,7.66,2.34,0.10,0.33,17.20,11.00,3.00,3.00,32.10,29.80,0.11,-0.10,-0.80,11294.00,14441.00,78.20,202141.00,74164.00,5050.00,5740.00,88.00,4772.00,5482.00,87.00,1161.00,2406.00,48.30,21.00,23.80,19.90,-2.80,214.00,651.00,196.00,53.00,860.00,14441.00,12946.00,1423.00,382.00,30.00,104.00,395.00,489.00,97.00,50.00,25.00,5.00,11294.00,72.00,261.00,494.00,13.00,348.00,42.00,23.00,40.00,24.00,17.00,51.00,1.34,36.00,3.00,2.00,3.00,5.00,2.00,537.00,298.00,305.00,183.00,49.00,239.00,573.00,41.70,334.00,457.00,163.00,294.00,327.00,864.00,818.00,14.00,18167.00,3258.00,8426.00,6597.00,3319.00,561.00,18164.00,524.00,243.00,46.40,212.00,40.50,9792.00,49406.00,23535.00,434.00,310.00,125.00,442.00,259.00,11200.00,853.00,80.00,2.00,1.00,402.00,332.00,72.00,395.00,327.00,298.00,3.00,10.00,2.00,1647.00,364.00,438.00,45.40
57.00,Manchester Utd,eng Premier League,26.00,26.40,46.00,38.00,418.00,3420.00,38.00,42.00,28.00,70.00,40.00,2.00,3.00,50.00,0.00,50.40,48.00,37.40,85.40,697.00,1355.00,1.11,0.74,1.84,1.05,1.79,1.33,0.98,2.31,1.26,2.25,42.00,478.00,139.00,29.10,12.58,3.66,0.08,0.29,16.60,18.00,2.00,3.00,50.40,48.00,0.10,-8.40,-8.00,13767.00,17676.00,77.90,240301.00,90072.00,6443.00,7404.00,87.00,5597.00,6630.00,84.40,1365.00,2623.00,52.00,28.00,37.40,34.90,-9.40,357.00,952.00,301.00,78.00,1355.00,17676.00,15911.00,1722.00,476.00,45.00,105.00,671.00,651.00,208.00,106.00,59.00,4.00,13767.00,43.00,395.00,824.00,21.68,568.00,85.00,42.00,69.00,44.00,16.00,68.00,1.79,50.00,4.00,0.00,6.00,7.00,1.00,631.00,361.00,312.00,226.00,93.00,338.00,655.00,51.60,317.00,554.00,165.00,389.00,415.00,1046.00,616.00,14.00,21995.00,2733.00,7669.00,9000.00,5563.00,975.00,21992.00,718.00,297.00,41.40,301.00,41.90,11694.00,65364.00,34500.00,697.00,492.00,206.00,572.00,357.00,13634.00,1343.00,50.00,0.00,0.00,310.00,413.00,43.00,671.00,415.00,361.00,2.00,3.00,2.00,2119.00,434.00,465.00,48.30
58.00,Marseille,fr Ligue 1,30.00,26.20,43.30,38.00,418.00,3420.00,38.00,37.00,22.00,59.00,32.00,5.00,5.00,64.00,0.00,42.50,38.50,30.20,68.80,577.00,1146.00,0.97,0.58,1.55,0.84,1.42,1.12,0.80,1.91,1.01,1.81,37.00,422.00,137.00,32.50,11.11,3.61,0.08,0.23,18.10,10.00,5.00,5.00,42.50,38.50,0.09,-5.50,-6.50,12111.00,15822.00,76.50,215956.00,86731.00,5348.00,6281.00,85.10,4904.00,5954.00,82.40,1384.00,2689.00,51.50,22.00,30.20,29.90,-8.20,316.00,913.00,213.00,59.00,1146.00,15822.00,13925.00,1867.00,583.00,26.00,82.00,541.00,716.00,155.00,54.00,72.00,0.00,12111.00,30.00,281.00,727.00,19.13,538.00,60.00,36.00,43.00,29.00,21.00,62.00,1.63,45.00,3.00,2.00,6.00,6.00,0.00,680.00,389.00,352.00,258.00,70.00,320.00,676.00,47.30,356.00,460.00,150.00,310.00,454.00,1134.00,734.00,12.00,20200.00,2587.00,7075.00,9057.00,4313.00,639.00,20195.00,677.00,290.00,42.80,301.00,44.50,13609.00,77284.00,34565.00,577.00,550.00,156.00,629.00,384.00,11988.00,1133.00,64.00,0.00,0.00,442.00,510.00,30.00,541.00,454.00,389.00,5.00,7.00,6.00,2107.00,484.00,491.00,49.60
59.00,Milan,it Serie A,30.00,26.70,44.40,38.00,418.00,3420.00,38.00,42.00,32.00,74.00,38.00,4.00,5.00,113.00,1.00,41.10,37.20,31.00,68.20,546.00,1168.00,1.11,0.84,1.95,1.00,1.84,1.08,0.82,1.90,0.98,1.80,42.00,401.00,118.00,29.40,10.55,3.11,0.09,0.32,18.40,16.00,4.00,5.00,41.10,37.20,0.10,0.90,0.80,12205.00,15832.00,77.10,212581.00,85792.00,5812.00,6649.00,87.40,4641.00,5621.00,82.60,1349.00,2581.00,52.30,32.00,31.00,25.90,1.00,326.00,906.00,246.00,64.00,1168.00,15832.00,13974.00,1817.00,483.00,25.00,170.00,539.00,743.00,163.00,85.00,46.00,0.00,12205.00,41.00,311.00,709.00,18.66,513.00,70.00,32.00,37.00,44.00,13.00,74.00,1.95,46.00,7.00,6.00,5.00,8.00,2.00,644.00,381.00,345.00,235.00,64.00,324.00,692.00,46.80,368.00,421.00,140.00,281.00,335.00,979.00,788.00,13.00,20064.00,2473.00,7081.00,8724.00,4483.00,601.00,20059.00,640.00,263.00,41.10,300.00,46.90,11032.00,59150.00,27918.00,546.00,445.00,108.00,628.00,390.00,12100.00,1157.00,113.00,1.00,0.00,462.00,430.00,41.00,539.00,335.00,381.00,5.00,5.00,3.00,1972.00,478.00,561.00,46.00
60.00,Monaco,fr Ligue 1,27.00,26.30,51.80,38.00,418.00,3420.00,38.00,55.00,40.00,95.00,50.00,5.00,5.00,58.00,2.00,53.20,49.70,38.20,87.90,647.00,1518.00,1.45,1.05,2.50,1.32,2.37,1.40,1.00,2.41,1.31,2.31,55.00,507.00,190.00,37.50,13.34,5.00,0.10,0.26,18.00,11.00,5.00,5.00,53.20,49.70,0.10,1.80,0.30,16087.00,19832.00,81.10,281112.00,102172.00,7090.00,8107.00,87.50,6926.00,7977.00,86.80,1535.00,2708.00,56.70,40.00,38.20,36.80,1.80,395.00,1111.00,285.00,63.00,1518.00,19832.00,18094.00,1688.00,557.00,57.00,106.00,570.00,605.00,163.00,59.00,62.00,0.00,16087.00,50.00,375.00,886.00,23.32,643.00,74.00,57.00,61.00,35.00,16.00,100.00,2.63,67.00,6.00,6.00,10.00,9.00,2.00,628.00,353.00,302.00,250.00,76.00,283.00,601.00,47.10,318.00,415.00,100.00,315.00,434.00,1062.00,707.00,13.00,24161.00,2646.00,8508.00,11138.00,4798.00,773.00,24156.00,793.00,378.00,47.70,323.00,40.70,17694.00,99593.00,47218.00,647.00,567.00,158.00,569.00,373.00,15960.00,1502.00,58.00,2.00,0.00,429.00,471.00,50.00,570.00,434.00,353.00,5.00,8.00,1.00,2236.00,457.00,515.00,47.00
61.00,Montpellier,fr Ligue 1,31.00,26.50,54.20,38.00,418.00,3420.00,38.00,60.00,42.00,102.00,54.00,6.00,11.00,82.00,10.00,62.20,53.50,39.40,92.90,794.00,1799.00,1.58,1.11,2.68,1.42,2.53,1.64,1.04,2.67,1.41,2.45,60.00,512.00,192.00,37.50,13.47,5.05,0.11,0.28,17.60,19.00,6.00,11.00,62.20,53.50,0.11,-2.20,0.50,15637.00,19336.00,80.90,277919.00,101551.00,6811.00,7878.00,86.50,6556.00,7608.00,86.20,1698.00,2802.00,60.60,42.00,39.40,45.90,2.60,371.00,1403.00,329.00,76.00,1799.00,19336.00,17466.00,1829.00,525.00,61.00,127.00,722.00,756.00,184.00,89.00,75.00,0.00,15637.00,41.00,369.00,907.00,23.87,637.00,80.00,57.00,66.00,51.00,16.00,103.00,2.71,74.00,5.00,9.00,10.00,5.00,0.00,683.00,400.00,330.00,260.00,93.00,321.00,659.00,48.70,338.00,368.00,104.00,264.00,411.00,1094.00,684.00,13.00,23622.00,2096.00,6465.00,11393.00,6025.00,896.00,23611.00,835.00,384.00,46.00,361.00,43.20,16922.00,99928.00,48196.00,794.00,748.00,196.00,572.00,323.00,15476.00,1783.00,82.00,10.00,4.00,551.00,470.00,41.00,722.00,411.00,400.00,7.00,7.00,1.00,2086.00,553.00,480.00,53.50
62.00,Monza,it Serie A,31.00,26.40,44.80,38.00,418.00,3420.00,38.00,51.00,32.00,83.00,48.00,3.00,3.00,78.00,5.00,51.30,49.00,38.00,87.00,768.00,1449.00,1.34,0.84,2.18,1.26,2.11,1.35,1.00,2.35,1.29,2.29,51.00,484.00,169.00,34.90,12.74,4.45,0.10,0.28,16.80,13.00,3.00,3.00,51.30,49.00,0.10,-0.30,-1.00,13250.00,16713.00,79.30,238725.00,90981.00,5915.00,6743.00,87.70,5352.00,6296.00,85.00,1602.00,2737.00,58.50,32.00,38.00,34.00,-6.00,380.00,1085.00,326.00,89.00,1449.00,16713.00,14879.00,1779.00,538.00,28.00,186.00,704.00,709.00,186.00,74.00,80.00,0.00,13250.00,55.00,306.00,869.00,22.87,635.00,84.00,43.00,54.00,39.00,14.00,85.00,2.24,62.00,5.00,4.00,11.00,2.00,1.00,546.00,323.00,222.00,235.00,89.00,237.00,519.00,45.70,282.00,377.00,105.00,272.00,316.00,862.00,555.00,6.00,20566.00,2054.00,6119.00,9384.00,5287.00,840.00,20563.00,618.00,291.00,47.10,260.00,42.10,11585.00,66080.00,35083.00,768.00,512.00,166.00,600.00,335.00,13124.00,1437.00,78.00,5.00,3.00,534.00,466.00,55.00,704.00,316.00,323.00,1.00,6.00,2.00,1983.00,441.00,448.00,49.60
63.00,Nantes,fr Ligue 1,29.00,26.30,54.10,38.00,418.00,3420.00,38.00,51.00,29.00,80.00,42.00,9.00,9.00,61.00,5.00,52.40,45.50,34.50,80.00,750.00,1771.00,1.34,0.76,2.11,1.11,1.87,1.38,0.91,2.29,1.20,2.11,51.00,448.00,176.00,39.30,11.79,4.63,0.09,0.24,17.30,19.00,9.00,9.00,52.40,45.50,0.10,-1.40,-3.50,16588.00,20454.00,81.10,287994.00,108656.00,7440.00,8476.00,87.80,6976.00,8088.00,86.30,1533.00,2744.00,55.90,29.00,34.50,35.90,-5.50,333.00,1400.00,329.00,60.00,1771.00,20454.00,18566.00,1836.00,504.00,57.00,100.00,636.00,795.00,191.00,87.00,70.00,1.00,16588.00,52.00,368.00,786.00,20.68,582.00,55.00,47.00,56.00,35.00,11.00,86.00,2.26,55.00,5.00,8.00,10.00,7.00,1.00,683.00,415.00,367.00,245.00,71.00,333.00,711.00,46.80,378.00,372.00,109.00,263.00,336.00,1019.00,738.00,13.00,24671.00,2322.00,7243.00,11988.00,5684.00,822.00,24662.00,818.00,363.00,44.40,367.00,44.90,18004.00,105220.00,49109.00,750.00,628.00,179.00,638.00,342.00,16438.00,1760.00,61.00,5.00,1.00,435.00,454.00,52.00,636.00,336.00,415.00,6.00,5.00,2.00,2061.00,598.00,592.00,50.30
64.00,Napoli,it Serie A,27.00,26.40,38.20,38.00,418.00,3420.00,38.00,28.00,18.00,46.00,27.00,1.00,2.00,92.00,4.00,31.80,30.20,24.60,54.80,509.00,1013.00,0.74,0.47,1.21,0.71,1.18,0.84,0.65,1.48,0.80,1.44,28.00,363.00,105.00,28.90,9.55,2.76,0.07,0.26,18.30,9.00,1.00,2.00,31.80,30.20,0.08,-3.80,-3.20,11634.00,15077.00,77.20,205352.00,78029.00,5405.00,6156.00,87.80,4729.00,5618.00,84.20,1189.00,2442.00,48.70,18.00,24.60,23.00,-6.60,280.00,769.00,235.00,66.00,1013.00,15077.00,13353.00,1674.00,438.00,32.00,117.00,491.00,624.00,143.00,66.00,63.00,0.00,11634.00,50.00,312.00,644.00,16.95,459.00,61.00,39.00,38.00,24.00,23.00,48.00,1.26,32.00,2.00,5.00,7.00,0.00,2.00,700.00,406.00,403.00,226.00,71.00,361.00,698.00,51.70,337.00,436.00,161.00,275.00,331.00,1031.00,726.00,14.00,19204.00,2773.00,7705.00,7898.00,3809.00,583.00,19202.00,592.00,266.00,44.90,255.00,43.10,10134.00,52064.00,25529.00,509.00,365.00,129.00,531.00,314.00,11546.00,1007.00,92.00,4.00,3.00,495.00,363.00,50.00,491.00,331.00,406.00,1.00,9.00,2.00,1901.00,403.00,483.00,45.50
65.00,Newcastle Utd,eng Premier League,27.00,26.80,47.60,38.00,418.00,3420.00,38.00,31.00,23.00,54.00,29.00,2.00,5.00,80.00,2.00,39.60,35.70,29.70,65.30,600.00,1201.00,0.82,0.61,1.42,0.76,1.37,1.04,0.78,1.82,0.94,1.72,31.00,382.00,123.00,32.20,10.05,3.24,0.08,0.24,17.60,13.00,2.00,5.00,39.60,35.70,0.10,-8.60,-6.70,12444.00,16389.00,75.90,219793.00,81214.00,5805.00,6626.00,87.60,5082.00,6095.00,83.40,1271.00,2745.00,46.30,23.00,29.70,28.10,-6.70,301.00,961.00,230.00,56.00,1201.00,16389.00,14572.00,1761.00,460.00,49.00,116.00,564.00,717.00,162.00,76.00,52.00,2.00,12444.00,56.00,381.00,678.00,17.84,492.00,51.00,46.00,43.00,31.00,15.00,53.00,1.39,38.00,4.00,4.00,6.00,1.00,0.00,685.00,421.00,356.00,260.00,69.00,322.00,671.00,48.00,349.00,488.00,167.00,321.00,341.00,1026.00,854.00,12.00,20772.00,2819.00,7684.00,8651.00,4660.00,722.00,20766.00,733.00,335.00,45.70,307.00,41.90,10893.00,57872.00,29370.00,600.00,367.00,167.00,525.00,300.00,12338.00,1188.00,80.00,2.00,0.00,419.00,391.00,56.00,564.00,341.00,421.00,4.00,6.00,4.00,1956.00,427.00,553.00,43.60
66.00,Nice,fr Ligue 1,34.00,26.30,48.50,38.00,418.00,3420.00,38.00,37.00,25.00,62.00,34.00,3.00,5.00,44.00,4.00,44.60,40.60,32.70,73.30,704.00,1606.00,0.97,0.66,1.63,0.89,1.55,1.17,0.86,2.04,1.07,1.93,37.00,441.00,143.00,32.40,11.61,3.76,0.08,0.24,18.00,13.00,3.00,5.00,44.60,40.60,0.09,-7.60,-6.60,16263.00,19624.00,82.90,291870.00,99767.00,6919.00,7842.00,88.20,7060.00,7965.00,88.60,1739.00,2781.00,62.50,25.00,32.70,35.80,-7.70,342.00,1279.00,302.00,80.00,1606.00,19624.00,17984.00,1586.00,412.00,56.00,150.00,611.00,665.00,154.00,61.00,68.00,0.00,16263.00,54.00,351.00,791.00,20.82,596.00,68.00,44.00,31.00,34.00,18.00,66.00,1.74,42.00,6.00,5.00,4.00,6.00,3.00,714.00,417.00,327.00,263.00,124.00,330.00,750.00,44.00,420.00,436.00,118.00,318.00,370.00,1084.00,627.00,13.00,23884.00,2349.00,7298.00,11184.00,5667.00,769.00,23879.00,763.00,298.00,39.10,382.00,50.10,17773.00,98733.00,46657.00,704.00,662.00,168.00,565.00,436.00,16124.00,1590.00,44.00,4.00,2.00,411.00,369.00,54.00,611.00,370.00,417.00,5.00,6.00,1.00,2087.00,365.00,392.00,48.20
